area_id,stop_id
GAT,F912-12
GAT,F912-13
GAT,F912-14
GAT,F912-15
GAT,F912-16
GAT,F912-17
GAT,F912-18
GAT,F912-20
GAT,F912-21
GAT,F912-22
GAT,F912-23
GAT,F912-26
GAT,F912-41
GAT,F912-42
GAT,F912-43
GAT,F912-44
GAT,F912-45
GAT,F912-46
GAT,F912-47
GAT,F912-48
GAT,F912-49
GAT,F912-50
GAT,F912-51
GAT,F912-52
GAT,F913-01
GAT,F913-05
GAT,F913-06
GAT,F913-07
GAT,F913-08
GAT,F913-09
GAT,F913-10
GAT,F913-25
GAT,F913-26
GAT,F914-01
GAT,F914-06
GAT,F914-07
COL,FL241-99
COL,FL272-23
COL,FL411-60
GAT,FL910-01
GAT,FL912-24
GAT,FL912-25
GAT,FL912-55
